id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,avg_income,crime_rate
7129300520,20141013T000000,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,66,47.5112,-122.257,1340,5650,77716,4.986294890332928
6414100192,20141209T000000,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,55,47.721,-122.319,1690,7639,99403,9.644902665500542
5631500400,20150225T000000,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,16,47.7379,-122.233,2720,8062,98727,5.763463623763521
2487200875,20141209T000000,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,58,47.5208,-122.393,1360,5000,52896,8.849177919996018
1954400510,20150218T000000,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,37,47.6168,-122.045,1800,7503,72556,6.656028220687347
1321400060,20140627T000000,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,2,47.3097,-122.327,2238,6819,45172,7.709272238570907
2008000270,20150115T000000,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,68,47.4095,-122.315,1650,9711,65674,5.271540635830169
2414600126,20150415T000000,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,60,47.5123,-122.337,1780,8113,53803,6.790097844500576
3793500160,20150312T000000,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,23,47.3684,-122.031,2390,7570,85573,9.408005120116744
1736800520,20150403T000000,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,6,47.6007,-122.145,2210,8925,66827,8.23610150756913
9212900260,20140527T000000,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,49,47.69,-122.292,1330,6000,75152,3.7575494936280354
